Player ID,Team Name
844,CRD
845,CHI
846,2TM
847,PRV
848,PRT
849,PRV
850,GNB
851,2TM
852,BKN
853,CRD
854,2TM
855,TOR
856,2TM
857,2TM
858,BKN
859,FRN
860,PRV
861,CHI
862,CHI
863,2TM
864,2TM
865,CHI
866,TOR
867,TOR
868,SIS
869,NYG
870,PRT
871,PRV
872,TOR
873,FRN
874,NYG
875,2TM
876,BKN
877,GNB
878,NYG
879,GNB
880,PRT
881,BKN
882,TOR
883,GNB
884,2TM
885,BKN
886,GNB
887,CHI
888,PRT
889,PRV
890,2TM
891,CRD
892,CHI
893,PRT
894,CHI
895,SIS
896,2TM
897,TOR
898,PRV
899,2TM
900,2TM
901,CHI
902,PRV
903,TOR
904,GNB
905,CRD
906,PRT
907,SIS
908,CHI
909,GNB
910,NYG
911,PRT
912,NYG
913,GNB
914,PRV
915,GNB
916,PRT
917,CLE
918,GNB
919,BKN
920,GNB
921,NYG
922,PRV
923,PRV
924,PRT
925,GNB
926,CHI
927,PRT
928,CRD
929,NYG
930,CLE
931,CRD
932,NYG
933,NYG
934,PRT
935,2TM
936,CRD
937,CHI
938,2TM
939,CHI
940,CHI
941,BKN
942,GNB
943,NYG
944,GNB
945,CHI
946,2TM
947,GNB
948,CHI
949,NYG
950,SIS
951,CHI
952,CLE
953,NYG
954,CHI
955,GNB
956,GNB
957,FRN
958,SIS
959,PRT
960,PRT
961,CHI
962,GNB
963,GNB
964,CHI
965,CRD
966,GNB
967,BKN
968,BKN
969,PRV
970,CRD
971,CRD
972,GNB
973,BKN
974,BKN
975,BKN
976,PRV
977,2TM
978,2TM
979,GNB
980,BKN
981,NYG
982,CLE
983,GNB
984,PRV
985,CLE
986,BKN
987,PRT
988,CHI
989,NYG
990,BKN
991,CHI
992,BOS
993,GNB
994,GNB
995,NYG
996,CHI
997,GNB
998,CRD
999,GNB
1000,SIS
1001,PRT
1002,PRT
1003,CHI
1004,SIS
1005,CHI
1006,PRT
1007,GNB
1008,2TM
1009,CRD
1010,CRD
1011,CHI
1012,GNB
1013,SIS
1014,BKN
1015,CRD
1016,GNB
1017,NYG
1018,CHI
1019,GNB
1020,NYG
1021,2TM
1022,BOS
1023,CHI
1024,PRT
1025,BOS
1026,GNB
1027,SIS
1028,CHI
1029,SIS
1030,NYG
1031,BKN
1032,CRD
1033,GNB
1034,PRT
1035,2TM
1036,GNB
1037,CRD
1038,BOS
1039,2TM
1040,BKN
1041,BKN
1042,BKN
1043,SIS
1044,BOS
1045,GNB
1046,2TM
1047,CHI
1048,SIS
1049,NYG
1050,CRD
1051,CRD
1052,CHI
1053,GNB
1054,BKN
1055,PRT
1056,NYG
1057,BOS
1058,BKN
1059,NYG
1060,GNB
1061,GNB
1062,NYG
1063,CHI
1064,PRT
1065,GNB
1066,BOS
1067,NYG
1068,PHI
1069,CHI
1070,GNB
1071,CHI
1072,CRD
1073,NYG
1074,CHI
1075,NYG
1076,2TM
1077,CIN
1078,PIT
1079,PHI
1080,GNB
1081,NYG
1082,GNB
1083,CRD
1084,PIT
1085,BKN
1086,BOS
1087,PHI
1088,PIT
1089,PRT
1090,2TM
1091,GNB
1092,BKN
1093,PHI
1094,2TM
1095,NYG
1096,NYG
1097,CHI
1098,PRT
1099,NYG
1100,CIN
1101,BKN
1102,BKN
1103,BOS
1104,BKN
1105,GNB
1106,CHI
1107,PRT
1108,2TM
1109,NYG
1110,PIT
1111,CIN
1112,PRT
1113,CRD
1114,CHI
1115,NYG
1116,BOS
1117,CIN
1118,BKN
1119,PHI
1120,CHI
1121,GNB
1122,BKN
1123,PRT
1124,CHI
1125,CRD
1126,PIT
1127,CHI
1128,CIN
1129,PHI
1130,CIN
1131,CHI
1132,PIT
1133,2TM
1134,GNB
1135,CRD
1136,BOS
1137,CHI
1138,DET
1139,DET
1140,NYG
1141,CHI
1142,PHI
1143,CHI
1144,BOS
1145,BKN
1146,NYG
1147,DET
1148,DET
1149,CHI
1150,GNB
